_id,CURRENT BUILDING EVAL SCORE,FENCING,BUILDING CLEANLINESS,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,CLEANING LOG,PEST CONTROL LOG,MAINTENANCE LOG,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,INT. HALLWAY - WALLS / CEILING,LATITUDE,LONGITUDE
3009,94,3,3,2,3,3,3,3,3,3,2,43.666135292,-79.380264257
901,98,3,3,N/A,2,3,3,3,3,3,N/A,43.666175286,-79.445908725
1529,82,1,3,2,3,3,3,3,1,3,2,43.666206649,-79.447567251
1513,80,1,1,2,1,2,3,3,2,3,2,43.666212621,-79.382200082
3011,91,3,3,2,3,3,3,3,3,3,2,43.666242047,-79.379864214
3045,91,3,3,3,3,3,1,3,3,3,3,43.666302583,-79.37532155
1528,68,2,3,3,1,3,3,3,1,3,2,43.666313356,-79.446687913
1514,73,2,2,2,3,2,3,3,3,3,2,43.666349498,-79.381871851
3094,93,1,3,2,2,3,3,3,3,3,2,43.6663961492,-79.3863015962
1490,89,2,3,2,3,3,3,3,3,3,3,43.6665389642,-79.3280634035
3040,90,3,2,3,3,3,3,3,3,3,3,43.666545741,-79.379199316
2142,67,3,1,1,3,1,3,3,1,3,1,43.666610495,-79.400824313
3044,91,2,3,2,2,3,3,3,3,3,2,43.666726277,-79.376744213
1864,56,1,1,1,1,1,1,1,1,1,1,43.666740032,-79.404199734
1269,84,1,3,3,1,3,3,3,3,3,3,43.666756229,-79.345630285
5,68,2,2,2,3,1,1,1,1,1,2,43.666758158,-79.371599011
657,81,1,2,2,3,1,1,2,1,2,2,43.66676056,-79.352874184
3043,99,3,3,3,3,3,3,3,3,3,3,43.666774294,-79.376956773
1866,82,3,2,2,1,3,3,3,3,3,2,43.6667874217,-79.4051232115
3042,96,3,3,2,3,3,3,3,3,3,3,43.66681502,-79.377171097
3041,89,1,3,3,3,3,3,3,3,3,3,43.666828881,-79.377465578
16,77,3,2,3,3,3,1,1,3,1,3,43.666831284,-79.315638971
17,77,3,3,2,3,1,1,1,3,1,3,43.666846539,-79.31548812
2363,100,1,3,3,3,3,3,3,3,3,N/A,43.666895137,-79.384772592
1865,93,3,2,3,2,3,3,3,3,3,3,43.666960125,-79.400923338
2933,91,3,3,3,3,3,3,3,3,3,2,43.666995001,-79.406173702
374,99,3,3,3,3,3,3,3,3,3,3,43.667037433,-79.381704336
2366,82,3,3,3,3,3,1,3,3,3,2,43.667114664,-79.382108906
2934,100,3,3,3,3,3,3,3,3,3,3,43.6672444284,-79.4054073649
902,76,1,1,1,1,3,3,3,3,3,1,43.6672554091,-79.4464193523
3070,81,1,2,3,2,3,3,3,3,3,2,43.667270761,-79.44567156
2364,91,1,3,3,3,1,3,3,3,3,1,43.667322783,-79.383099364
2367,90,3,3,2,3,3,3,3,3,3,3,43.667324785,-79.380970345
3153,92,3,3,3,3,3,3,3,3,3,2,43.667330348,-79.38715059
2365,90,3,3,3,3,3,3,3,2,3,3,43.667381729,-79.382697967
2276,96,2,3,2,3,3,3,3,3,3,3,43.6675167764,-79.3792333809
2812,79,3,3,3,1,1,3,3,3,3,2,43.66759196,-79.375398711
2935,83,2,2,3,3,1,1,1,1,1,2,43.6676214521,-79.4054920342
2150,91,3,3,3,3,3,3,3,3,3,3,43.667643942,-79.383679432
2936,83,3,2,1,3,1,1,3,3,3,1,43.6676622013,-79.4064427031
774,87,1,2,3,2,3,3,3,0,3,2,43.6676849352,-79.3890195894
368,90,3,3,2,3,3,3,3,1,3,3,43.667694064,-79.419746224
1149,70,2,2,2,3,3,1,3,3,1,2,43.667724652,-79.31265581
3047,98,3,3,3,3,3,3,3,3,3,3,43.667755897,-79.373027782
1736,93,1,2,3,2,3,3,3,3,3,2,43.6677613551,-79.3884160975
775,96,3,2,3,3,3,3,3,3,3,2,43.667772301,-79.389524395
2153,96,2,3,3,3,3,3,3,3,3,3,43.667777746,-79.383098557
2906,97,3,3,3,3,3,3,3,3,3,3,43.667834893,-79.404953805
3048,88,3,2,3,3,3,3,3,3,3,2,43.66786785,-79.372782296
2938,74,2,2,2,3,2,3,3,1,1,2,43.6678896371,-79.406592558
1150,76,2,2,2,3,3,3,3,3,3,2,43.667904365,-79.312792617
1151,70,1,1,2,3,3,3,3,3,3,2,43.667917594,-79.31255405
2006,94,1,3,3,2,3,3,3,3,3,3,43.667957114,-79.414124093
2154,90,3,3,2,3,3,3,3,3,3,2,43.667962528,-79.382564773
1539,94,3,3,3,3,3,3,3,3,3,3,43.667969229,-79.378215831
2128,82,1,2,2,3,3,3,3,1,3,2,43.667981638,-79.293388906
375,97,3,3,3,3,3,3,3,3,3,2,43.668007452,-79.382076109
1540,76,2,3,2,3,1,3,3,1,3,2,43.668032007,-79.377921381
2368,92,3,3,1,3,3,3,3,3,3,2,43.668052257,-79.379770143
3046,81,2,2,2,1,3,3,3,3,3,1,43.668054223,-79.373657702
3049,78,1,3,3,1,3,3,3,3,3,2,43.668059318,-79.371752139
2005,72,1,2,1,1,1,1,1,1,1,1,43.668063591,-79.413898107
3156,100,3,3,3,3,3,3,3,3,3,3,43.668109286,-79.390826378
1152,76,2,2,2,3,3,3,3,3,3,2,43.668121582,-79.312392609
2937,80,2,3,1,3,3,3,3,3,3,2,43.6681530791,-79.4056958125
2939,87,2,3,1,3,1,3,3,3,3,3,43.668157441,-79.406612526
2151,91,2,3,3,3,1,3,3,3,1,3,43.66829815,-79.383729477
1153,72,2,2,2,3,3,1,3,3,1,2,43.668304546,-79.312459034
2156,75,1,2,3,3,2,1,1,2,2,1,43.668322729,-79.381302256
2152,94,3,3,3,3,3,1,3,3,3,2,43.668324,-79.383444564
