_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
867,GO-20221115960,2022,2022-06-12,2115,2022,2022-06-12,2126,D51,Streets/Roadways/Highway,NO,NO,None,None,None,None,Gay,None,No,Assault,074,North St.James Town (74),074,North St.James Town (74),Yes
868,GO-20221115446,2022,2022-06-12,1953,2022,2022-06-12,1953,D51,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,No,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),Yes
869,GO-20221132313,2022,2022-06-15,600,2022,2022-06-15,600,D55,Streets/Roadways/Highway,NO,NO,None,None,None,None,Gay,None,No,Uttering Threats - Bodily Harm,070,South Riverdale (70),070,South Riverdale (70),No
870,GO-20221153570,2022,2022-06-17,2200,2022,2022-06-18,448,D33,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,Yes,Mischief Under $5000,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),No
871,GO-20221170289,2022,2022-06-17,1630,2022,2022-06-20,1343,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,Yes,Mischief Under $5000,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),No
872,GO-20221149694,2022,2022-06-17,1222,2022,2022-06-17,1223,D22,Public Transportation,NO,NO,None,Other Ethnicity not mentioned,None,None,None,Woman,Yes,Murder,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),Yes
873,GO-20221171643,2022,2022-06-20,1700,2022,2022-06-20,2031,D22,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,No,Assault,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),No
874,GO-20221169688,2022,2022-06-20,1205,2022,2022-06-20,1205,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,142,Woburn North (142),137,Woburn (137),No
875,GO-20221183314,2022,2022-06-22,1201,2022,2022-06-22,1201,D42,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,Other Ethnicity not mentioned,None,None,None,None,No,Assault,118,Tam O'Shanter-Sullivan (118),118,Tam O'Shanter-Sullivan (118),Yes
876,GO-20221183437,2022,2022-06-22,1000,2022,2022-06-22,1000,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,No,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),Yes
877,GO-20221550055,2022,2022-06-24,49,2022,2022-08-12,740,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,East/Southeast Asian,None,None,None,None,None,No,Mischief Under $5000,070,South Riverdale (70),070,South Riverdale (70),No
878,GO-20221202397,2022,2022-06-24,2030,2022,2022-06-24,2030,D51,Streets/Roadways/Highway,NO,NO,None,None,None,None,Gay,None,No,Assault With a Weapon,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),No
879,GO-20221198264,2022,2022-06-24,959,2022,2022-06-24,1932,D51,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),No
880,GO-20221211711,2022,2022-06-26,445,2022,2022-06-26,445,D51,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,None,None,None,None,None,Woman,No,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),Yes
881,GO-20221322730,2022,2022-06-29,1700,2022,2022-07-11,1526,D52,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,No,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),No
882,GO-20221254600,2022,2022-06-30,1520,2022,2022-07-02,907,D31,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),Yes
883,GO-20221270650,2022,2022-06-30,1519,2022,2022-07-04,1613,D31,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),Yes
884,GO-20221480609,2022,2022-06-30,1,2022,2022-08-02,1119,D43,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,156,Bendale-Glen Andrew (156),127,Bendale (127),No
